date,title,energy
2026/1/07,[閒聊] 2026/01/07 盤中閒聊,99
2026/1/07,[新聞] 白宮認了「不排除武力拿下格陵蘭」！美,99
2026/1/07,[新聞] 聯準會理事米蘭：2026年有必要降息 逾1個,8
2026/1/07,[新聞] 川普：委內瑞拉將上繳「5000萬桶石油」,76
2026/1/07,[新聞] 競爭對手淡出 MLC NAND 結合比價優勢，,2
2026/1/07,Re: [請益] 要如何勸動長輩買0050這種市值型ETF,7
2026/1/07,[情報] 2801彰銀 12月自結 0.08 累計 1.51,30
2026/1/07,[情報] 宇瞻12月營收8.50 億元，月減18.7%,59
2026/1/07,[新聞] 3萬點竟是最後的晚餐？金管會數據踢爆67,15
2026/1/07,Re: [標的] 9904 寶成 9938 百和 運動賽事一起多,2
2026/1/07,[請益] 股市小白的未來之路,30
2026/1/07,[新聞] 快訊／全台最狂房東開缺！台北101釋股徵,24
2026/1/07,[公告] Stock 板 開始舉辦樂透!,10
2026/1/07,[新聞] 中國增購10船美國大豆　累計總量接近1000,41
2026/1/07,Re: [新聞] 川普：委內瑞拉將上繳「5000萬桶石油」,26
2026/1/07,[新聞] 群創處置首日量縮漲8%　資金轉戰3檔面板,14
2026/1/07,[新聞] 面板價格即將出現轉折向上 大摩喊友達上,14
2026/1/07,[情報] 8299 群聯 12月營收 y+92.68% m+24.07%,42
2026/1/07,[標的] 8271 宇瞻 多,45
2026/1/07,[請益] 今天還沒11點成交量就5000億以上,84
2026/1/07,[新聞] 偷賣1.7億未上市股票被抓包！電源供應,19
2026/1/07,[請益] 要怎麼知道AI基建潮會持續多久？,62
2026/1/07,[新聞] 臺慶科、勤凱 營收寫3驚奇,25
2026/1/07,[標的] 2367 燿華 PCB就剩你沒漲強力多,10
2026/1/07,[新聞] 黃仁勳CES發表自駕AI、超級晶片　演講3大,7
2026/1/07,[請益] 請問記憶體如何停利？,63
2026/1/07,Re: [請益] 要怎麼知道AI基建潮會持續多久？,21
2026/1/07,[標的] 9904 寶成 9938 百和 運動賽事一起多,25
2026/1/07,[標的] 富邦科技0052 小台積 多,14
2026/1/07,[情報] 2337 旺宏 11月自結 EPS 0.04 虧轉盈,51
2026/1/07,[新聞] 立委疑某壽險壓629億哥倫比亞垃圾債　金,53
2026/1/07,[情報] 115年01月07日 三大法人買賣金額統計表,99
2026/1/07,[請益] 股市有可能泡沫化嗎？,99
2026/1/07,[新聞] AI電力缺口成金礦？太陽能族群回暖 元晶,12
2026/1/07,[請益] 中籤率可信嗎？,13
2026/1/07,[新聞] 元大00631L 今起開始分割投票,35
2026/1/07,[標的] 創惟 6104多,9
2026/1/07,[新聞] 台股周一量爆近8千億 彭金隆證實與外資有,32
2026/1/07,[閒聊] 2026/01/07 盤後閒聊,40
2026/1/07,[情報] 2303 聯電 114年12月營收,56
2026/1/07,[情報] 2345 智邦 12月營收 y+67.65% m+15.51%,18
2026/1/07,[新聞] 雙雄搶四接／435億四接標案月底掀牌　皇,2
2026/1/07,[情報] 3017 奇鋐 114年12月營收,41
2026/1/07,[請益] 信貸投資一次all in,97
2026/1/07,[情報] 3034 聯詠 114年12月營收,14
2026/1/07,[標的] 美股買00757 是選錯標的嗎？,6
2026/1/07,[情報] 0107 上市投信買賣超排行,24
2026/1/07,[情報] 2337 旺宏 12月營收,45
2026/1/07,[新聞] 為什麼黃仁勳談話讓儲存股狂漲 卻讓散熱,23
2026/1/07,Re: [請益] 每天看嘉偉跟陳龍的節目我有點錯亂,12
2026/1/07,[新聞] 賣日本較便宜？金色三麥：台灣將下架,52
2026/1/07,Re: [情報] 2337 旺宏 12月營收,9
2026/1/07,Re: [標的] 群聯 8299 To the moon 多,17
2026/1/07,[心得] 下輩子約好一起當債蛙,40
2026/1/07,[新聞] 土方之亂建商跳腳 亞昕姚連地：業界讓利,50
2026/1/07,[情報] 6805 富世達 114年12月營收,9
2026/1/07,[新聞] 立委憂台股虛胖 彭金隆：年線下占比高「,37
2026/1/07,[情報] 3131 弘塑 12月營收,26
2026/1/07,[新聞] DeepSeek震撼股市未阻西方AI熱潮　算力與,33
2026/1/07,[情報] 3293 鈊象 114年12月營收,39
2026/1/07,[新聞] 外資從台股提款 去年賣超4744億,27
2026/1/07,[情報] 群益證6005 自結去年 EPS 2.64,10
2026/1/07,Re: [標的] 2618長榮航 空,7
2026/1/07,Re: [新聞] 賣日本較便宜？金色三麥：台灣將下架,27
2026/1/07,[情報] 3305 昇貿 12月營收,4
2026/1/07,[情報] 2451 創見 114年12月營收,30
2026/1/07,[新聞] 奇鋐、富世達2025年營收出爐,16
2026/1/07,[新聞] 台股破3萬點還會再漲？凱基投信副投資長,39
2026/1/07,[新聞] 外資賣超298億狂買聯電逾5萬張！買超第1,7
2026/1/07,[情報] 5351 鈺創 自結12月份 每股獲0.31元,18
2026/1/07,[情報] 8131 福懋科 達注意標準 12月自結 0.39,5
2026/1/07,Re: [新聞] 奇鋐、富世達2025年營收出爐,20
2026/1/07,Re: [請益] 假設現在是高點存股仔能做什麼？,9
2026/1/07,[情報] 6015 宏遠證 12月自結 0.2元 全年 0.77元,12
2026/1/07,[情報] 2886 兆豐金12月自結0.21累計2.37,7
2026/1/07,Re: [標的] 6108.TW 競國 記憶體模組板 多,4
2026/1/07,[情報] 2323 中環 買台積電、穩懋,18
2026/1/07,[新聞] 龍頭不讓了！國泰證美股複委託手續費跟進,99
2026/1/07,[情報] 0107 上市外資買賣超排行,99
2026/1/07,Re: [新聞] 龍頭不讓了！國泰證美股複委託手續費跟進,52
2026/1/07,[情報] 9942 茂順 114年12月營收,0
2026/1/07,[情報] 台灣2025年12月份CPI 1.31%,52
2026/1/07,[情報] 4967十銓 12月營收 y+211.28% m+224.43%,22
2026/1/07,[公告] 會想要開 投顧板 或 財經節目板嗎？ 水桶,21
2026/1/07,[情報] 0107 上市櫃股票週轉率排行,1
2026/1/07,[公告] Stock 樂透開獎,0
2026/1/07,[請益] 假設現在是高點存股仔能做什麼？,59
